Frequency,Average Rel Power,-,Cal Rel Power
1419.497266,0.047162,0.019418,2.428838
1419.498437,0.04717,0.019388,2.432904
1419.499609,0.047232,0.019378,2.437367
1419.500781,0.047192,0.019385,2.434421
1419.501953,0.047133,0.019416,2.427571
1419.503125,0.047295,0.019432,2.433831
1419.504297,0.047433,0.01938,2.447533
1419.505469,0.047356,0.019343,2.44828
1419.506641,0.047175,0.019312,2.442793
1419.507812,0.047128,0.019292,2.442808
1419.508984,0.047167,0.019322,2.441098
1419.510156,0.047255,0.019323,2.445567
1419.511328,0.047348,0.019281,2.455679
1419.5125,0.047128,0.019294,2.442589
1419.513672,0.046954,0.019312,2.431347
1419.514844,0.046885,0.019252,2.435393
1419.516016,0.04684,0.019225,2.436424
1419.517187,0.046916,0.019269,2.434741
1419.518359,0.046941,0.019255,2.437793
1419.519531,0.046966,0.019231,2.442135
1419.520703,0.047119,0.019235,2.44963
1419.521875,0.046996,0.019228,2.444173
1419.523047,0.046638,0.019228,2.42556
1419.524219,0.04653,0.019222,2.420712
1419.525391,0.046559,0.019189,2.426314
1419.526562,0.046614,0.019178,2.430548
1419.527734,0.046811,0.019167,2.442312
1419.528906,0.047019,0.019169,2.452935
1419.530078,0.046965,0.01918,2.448687
1419.53125,0.046685,0.019184,2.433478
1419.532422,0.046662,0.019172,2.433827
1419.533594,0.046892,0.019154,2.448103
1419.534766,0.04693,0.019149,2.450746
1419.535938,0.046865,0.019146,2.447742
1419.537109,0.046697,0.019122,2.441978
1419.538281,0.046358,0.019122,2.42435
1419.539453,0.046412,0.019096,2.430483
1419.540625,0.046657,0.019068,2.446834
1419.541797,0.046745,0.019074,2.450674
1419.542969,0.046576,0.019103,2.438108
1419.544141,0.046491,0.019137,2.429405
1419.545312,0.046701,0.019138,2.440288
1419.546484,0.046709,0.019122,2.442627
1419.547656,0.046578,0.019117,2.436533
1419.548828,0.046348,0.019129,2.422907
1419.55,0.046257,0.019117,2.419704
1419.551172,0.046456,0.019079,2.434989
1419.552344,0.046461,0.019047,2.43932
1419.553516,0.046326,0.019033,2.433943
1419.554688,0.046302,0.019022,2.434093
1419.555859,0.046421,0.01902,2.440673
1419.557031,0.046315,0.019002,2.43738
1419.558203,0.046425,0.019001,2.443253
1419.559375,0.046646,0.019008,2.454053
1419.560547,0.046704,0.019036,2.453443
1419.561719,0.046528,0.019041,2.443522
1419.562891,0.046177,0.019034,2.425991
1419.564062,0.04629,0.019013,2.434664
1419.565234,0.046503,0.018976,2.450678
1419.566406,0.046577,0.019006,2.450682
1419.567578,0.046383,0.019023,2.43819
1419.56875,0.04617,0.018983,2.432209
1419.569922,0.046189,0.018963,2.435762
1419.571094,0.046316,0.018978,2.440526
1419.572266,0.046172,0.018992,2.431151
1419.573437,0.046186,0.019016,2.428761
1419.574609,0.046405,0.019019,2.43995
1419.575781,0.0465,0.018983,2.449507
